Transect,Position,Habitat Type,Season,Main Cover,Cardiocondyla mauritanica,Cremaogaster hespera,Dorymyrmex insanus,Formica francoeuri,Forelius pruinosus,Hypoponera opaciceps,Liometopum occidentale,Linepithema humile,Monomorium ergatogyna,Pheidole hyatti,Pogonomyrmex californicus,Solenopsis molesta,Solenopsis validiuscula,Solenopsis xyloni,Stenamma punctatoventre,Tapinoma sessile,Temnothorax andrei,Temnothorax nitens,Main Cover,Litter,Soil,Live Veg,Mulch,canopy cover,soil moisture,percent clay,percent sand,Litter/Bare Ground,Acmispon glaber,Adenostoma fasciculatum,Ambrosia psilostachya,Artemisia californica,Artemisia douglasiana,Arundo donax,Astragalus trichopodus,Atriplex lentiformis,Baccharis pilularis,Baccharis salicifolia,Bromus madritensis ssp. rubens,Carduus pycnocephalus,Chenopodium album,Curcubita foetidissima,Datura wrightii,Digitaria ciliaris,Elymus condensatus,Elymus glaucus,Elymus triticoides,Erigeron canadensis,Eriodictyon crassifolium,Eschscholzia californica,Euthamia occidentalis,Heliotropium curassavicum ,Heteromeles arbutifolia,Hirschfeldia incana,Juglans californica,Lactuca serriola,Linnacea coulteri,Malva parviflora,Nicotiana glauca,Populous trichocarpa,Quercus agrifolia,RICCOM,Rubus ursinus,Salix laevigata,Salix lasiolepis,Salix exigua,Salsola tragus,Salvia apiana,Salvia mellifera,Sambucus nigra,Sisyimbrium irio,Tamarix ramosissima,Toxicodendron diversilobum,Urtica dioica,Total native Cover,Total Non-native Cover
HR8,HR8A,R. Scrub,Summer,Soil,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,Soil,40.66666667,49,10.33333333,0,21.48,18.8514905,7,57,422,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0
HR8,HR8B,R. Scrub,Summer,Litter,0,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,0,0,Litter,87,6.333333333,6.666666667,0,85.18,13.36291913,9,76,340,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,160,0
HR8,HR8C,R. Scrub,Summer,Litter,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Litter,54,45.33333333,0.666666667,0,97.66,4.822623406,7,75,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,80,0,0,0,0,0,0,0,0,525,0
HR8,HR8D,R. Scrub,Summer,Soil,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Soil,1.666666667,98.33333333,0,0,30.84,7.585975989,7,66,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR8,HR8E,R. Scrub,Summer,Soil,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Soil,7.333333333,92.66666667,0,0,92.72,9.507792353,3,84,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0
HR6,HR6B,R. Scrub,Summer,Litter,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,Litter,60.33333333,32,7.666666667,0,66.46,4.93554095,6,89,115,0,0,0,0,0,0,0,0,295,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0
HR6,HR6C,R. Scrub,Summer,Litter,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,Litter,66,13,21,0,86.48,8.500988487,5,85,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0
HR6,HR6D,R. Scrub,Summer,Litter,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Litter,61,39,0,0,87.78,7.510673062,5,85,0,0,0,0,0,0,0,0,0,100,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0
HR6,HR6E,R. Scrub,Summer,Soil,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Soil,7.333333333,79.33333333,13.33333333,0,7.44,12.6965839,8.72,70.28,100,0,0,0,0,0,0,0,0,175,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,465,0
RC3,RC3A,R. Channel,Summer,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.16,0.671497906,1.64,87.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,122,0,0,81,122
RC3,RC3B,R. Channel,Summer,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,14.46,0.34395095,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RC3,RC3C,R. Channel,Summer,NA,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,27.2,0.531664311,1.36,96.64,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
RC3,RC3D,R. Channel,Summer,NA,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,3.02,1.836909056,2.72,94.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RC3,RC3E,R. Channel,Summer,NA,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,88.82,0.31120332,2.08,99.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40
RC5,RC5A,R. Channel,Summer,NA,0,0,1,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,28.76,0.546387154,1.72,94.28,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0
RC5,RC5B,R. Channel,Summer,NA,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,20.18,0.193764312,0,100,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0
RC5,RC5C,R. Channel,Summer,NA,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,96.88,0.306797144,1,99,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,232,0
RC5,RC5D,R. Channel,Summer,NA,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,84.14,0.334049153,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RC5,RC5E,R. Channel,Summer,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,44.88,24.01265042,-0.36,98.36,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0
TA,TAA,Arundo,Summer,Litter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Litter,97.33333333,0,2.666666667,0,98.18,24.09008838,7,57,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
TA,TAB,Arundo,Summer,Litter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Litter,90.33333333,0.333333333,9.333333333,0,100,28.11169637,8,51,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
TA,TAC,Arundo,Summer,Litter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Litter,85.33333333,0,14.66666667,0,99.48,27.44940715,7,55,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
TA,TAD,Arundo,Summer,Litter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Litter,97.33333333,1,1.666666667,0,100,13.89759666,NA,NA,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
TA,TAE,Arundo,Summer,Litter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Litter,90,0.666666667,9.333333333,0,100,4.105029586,NA,NA,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
U3,U3A,R. Forest,Summer,Litter,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,3,Litter,96.33333333,1,0,2.666666667,98.44,22.02661492,6,67,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0
U3,U3B,R. Forest,Summer,Litter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,Litter,95.66666667,1.333333333,0,3,99.48,25.60801144,10.36,60.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,383,0,0,0,0,0,0,0,0,0,0,0,883,0
U3,U3C,R. Forest,Summer,Veg,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,Veg,31.33333333,1,67.66666667,0,70.88,29.72107049,7.36,76.64,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,460,0,0,0,0,0,0,0,0,0,904,0
U3,U3D,R. Forest,Summer,Veg,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,1,0,Veg,31.66666667,0.333333333,65.33333333,2.666666667,74.78,19.74165245,6.36,57.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,0,0,0,0,0,0,0,0,0,0,1000,0
U3,U3E,R. Forest,Summer,Litter,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,2,2,1,Litter,85.66666667,0.666666667,6,7.666666667,98.96,21.16238139,6.36,62.64,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,375,0,0,0,0,0,0,0,0,0,0,0,875,0
U5,U5A,R. Forest,Summer,Litter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,Litter,99.66666667,0,0.333333333,0,95.32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,500,0
U5,U5B,R. Forest,Summer,Litter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,Litter,100,0,0,0,95.06,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,500,0
U5,U5C,R. Forest,Summer,Litter,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,2,2,1,Litter,94,0.333333333,5.666666667,0,98.7,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,500,0
U5,U5D,R. Forest,Summer,Litter,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,2,3,1,Litter,84.33333333,0,15.66666667,0,94.02,NA,NA,NA,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,360,0,0,0,0,0,0,0,0,0,410,0
U5,U5E,R. Forest,Summer,Veg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Veg,30.66666667,0,69.33333333,0,90.9,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,500,0,0,0,0,0,0,0,0,0,928,0
U6,U6A,R. Forest,Summer,Litter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,Litter,97,0,3,0,91.94,24.70697243,0.28,73.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,500,0
U6,U6B,R. Forest,Summer,Litter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,Litter,69.33333333,0,30.66666667,0,96.36,26.76962677,1.28,66.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,239,0,500,0,0,0,0,0,0,0,0,0,752,0
U6,U6C,R. Forest,Summer,Litter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,Litter,71,0,29,0,97.14,28.26862539,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,0,62,0,0,0,0,0,0,0,0,0,1062,0
U6,U6D,R. Forest,Summer,Veg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Veg,31.66666667,0,68.33333333,0,81.54,31.42273099,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,298,0,294,0,0,0,0,0,0,0,0,0,687,0
U6,U6E,R. Forest,Summer,Soil,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,Soil,48.66666667,50.66666667,0.666666667,0,75.3,22.63051191,2,61,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,125,0,0,0,268,0,0,0,0,0,0,0,0,0,0,427,92
U8,U8A,R. Forest,Summer,Mulch,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,2,1,0,Mulch,36.66666667,0,0.666666667,62.66666667,60.22,NA,NA,NA,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
U8,U8B,R. Forest,Summer,Litter,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,2,1,Litter,87.33333333,0,0,12.66666667,84.66,NA,NA,NA,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0
U8,U8C,R. Forest,Summer,Litter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,Litter,72.33333333,0,0,27.66666667,87,NA,NA,NA,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,15,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,15
VC7,V7A,Replanting,Summer,Litter,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,1,0,Litter,77.66666667,0.666666667,9.333333333,5.666666667,97.4,40.81576786,4,76,34,0,0,0,0,19,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,64,0,0,0,42,508,0
VC7,V7B,Replanting,Summer,Mulch,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,Mulch,41,1.333333333,1.666666667,56,60.74,38.88031939,5,76,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,210,153
VC7,V7C,Replanting,Summer,Mulch,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,Mulch,16.33333333,4,21.33333333,58.33333333,51.9,4.798417017,NA,NA,259,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,252,0
VC7,V7E,Replanting,Summer,Mulch,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,Mulch,5,2.333333333,12,80.66666667,10.3,23.01587302,NA,NA,343,0,0,45,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0
VC8,V8A,Replanting,Summer,Mulch,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,0,Mulch,14.66666667,0,4,81.33333333,86.48,29.25672114,4,78,135,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,65,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0
VC8,V8B,Replanting,Summer,Veg,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,Veg,15.66666667,3.666666667,60.33333333,20.33333333,72.96,21.11094587,2,70,66,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,420,29,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0
VC8,V8C,Replanting,Summer,Mulch,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Mulch,16,13.33333333,15.66666667,55,93.24,21.77027027,3,68,84,0,0,0,0,0,0,0,0,0,0,0,12,0,362,0,0,0,0,197,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,12
VC8,V8D,Replanting,Summer,Litter,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,Litter,47.66666667,13,13.33333333,26,86.74,16.48044693,3.64,73.36,195,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,141,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0
VC8,V8E,Replanting,Summer,Mulch,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Mulch,22.66666667,2.666666667,9,65.66666667,48.26,31.45115754,2.64,75.36,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,213,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,59
VC9,V9A,Replanting,Summer,Mulch,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,Mulch,2,0,23.66666667,74.33333333,17.84,22.7192336,2,67,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,303,0,0,0,0,872,0
VC9,V9B,Replanting,Summer,Litter,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Litter,79,0,1.333333333,19.66666667,85.44,19.86632865,1,79,23,0,0,0,0,0,0,0,0,0,137,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,517,0
VC9,V9C,Replanting,Summer,Litter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Litter,89.33333333,0.666666667,0,10,74.26,20.10768972,NA,NA,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,955,0
VC9,V9D,Replanting,Summer,Litter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Litter,64.66666667,0.666666667,9.333333333,25.33333333,64.64,28.99517602,8,54,274,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,80,30,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0
